                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0892,                 8.6046,                0.69186,                 7.7276,                 2.3721,                0.15429,                0.07143,                0.01555,                0.01089,                      0,                      0,                      0,                      0,                 2.7292,                 11.284,                0.69385,                 6.6309,                 2.3033,                      0,                      0,                      0
                      2,                 4.2588,                 10.629,                0.71068,                   7.85,                 3.2944,                 0.1542,                0.07143,                0.01551,                0.01086,                      0,                      0,                      0,                      0,                 2.7091,                   11.3,                0.69406,                 6.5752,                 2.2982,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                  3.256,                 9.6833,                  0.708,                 6.8458,                 2.2359,                0.15457,                0.07143,                0.01557,                 0.0109,                      0,                      0,                      0,                      0,                 2.7276,                 11.316,                0.69394,                 6.4423,                 2.3155,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.3931,                  9.716,                0.70111,                 6.4235,                 3.0566,                0.15474,                0.07143,                0.01572,                0.01101,                      0,                      0,                      0,                      0,                 2.7097,                   11.3,                0.69398,                 6.2575,                 2.2946,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.1629,                 10.261,                0.69836,                  7.106,                 2.4497,                0.15498,                0.07143,                0.01946,                0.01213,                      0,                      0,                      0,                      0,                 2.6738,                 11.336,                0.69389,                 6.0102,                   2.26,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.7648,                 10.297,                0.69707,                 6.1264,                 2.3157,                0.15527,                0.07143,                0.02032,                0.01242,                      0,                      0,                      0,                      0,                 2.6178,                 11.333,                 0.6938,                 5.7578,                 2.2256,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.2815,                 8.4299,                0.70211,                 4.5415,                 2.3628,                0.15597,                0.07143,                0.02934,                0.01338,                      0,                      0,                      0,                      0,                 2.5798,                 11.313,                0.69353,                 5.4336,                 2.2247,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.2612,                 9.0725,                0.69559,                  3.884,                 2.3503,                0.15693,                0.07143,                 0.0408,                0.01842,                      0,                      0,                      0,                      0,                 2.5394,                 11.307,                0.69371,                 5.1711,                 2.2133,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.7815,                 10.677,                 0.6984,                  5.152,                 2.3018,                0.15702,                0.07143,                0.04775,                0.02132,                      0,                      0,                      0,                      0,                 2.5018,                 11.298,                0.69364,                 4.8537,                 2.1679,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.4726,                 10.345,                0.70109,                 3.5385,                 2.7115,                0.15697,                0.07143,                0.05704,                0.02391,                      0,                      0,                      0,                      0,                 2.4535,                 11.298,                 0.6935,                 4.5065,                 2.1079,             0.00016396,             0.00016396,             0.00016396
